Bangladesh medical journal	Bangladesh Med J	Bangladesh. Med. J.
Journal of medical imaging and radiation oncology	J Med Imaging Radiat Oncol	J. Med. Imaging. Radiat. Oncol.
Steroids	Steroids	Steroids.
Nationalities papers	Natl Pap	Natl. Pap.
JSM microbiology	JSM Microbiol	JSM. Microbiol.
Mediterranean journal of nutrition and metabolism	Med J Nutrition Metab	Med. J. Nutrition. Metab.
Transactions of the Association for Computational Linguistics	Trans Assoc Comput Linguist	Trans. Assoc. Comput. Linguist.
Transactions of the Southern Surgical Association. Southern Surgical Association (U.S.)	Trans South Surg Assoc	Trans. South. Surg. Assoc.
Journal of the American Medical Record Association	J Am Med Rec Assoc	J. Am. Med. Rec. Assoc.
Histochemistry	Histochemistry	Histochemistry.
Princeton journal of bioethics	Princet J Bioeth	Princet. J. Bioeth.
Nurse education today	Nurse Educ Today	Nurse. Educ. Today.
Journal of medical statistics and informatics	J Med Stat Inform	J. Med. Stat. Inform.
AMIA ... Annual Symposium proceedings. AMIA Symposium	AMIA Annu Symp Proc	AMIA. Annu. Symp. Proc.
Developmental period medicine	Dev Period Med	Dev. Period. Med.
Institute of Mathematical Statistics collections	Inst Math Stat Collect	Inst. Math. Stat. Collect.
Plant methods	Plant Methods	Plant. Methods.
Advances in statistical analysis : AStA : a journal of the German Statistical Society	Adv Stat Anal	Adv. Stat. Anal.
Journal of toxicology and environmental health. Supplement	J Toxicol Environ Health Suppl	J. Toxicol. Environ. Health. Suppl.
Current colorectal cancer reports	Curr Colorectal Cancer Rep	Curr. Colorectal. Cancer. Rep.
Medicina espanola	Med Esp	Med. Esp.
Archivii italiani di laringologia	Arch Ital Laringol	Arch. Ital. Laringol.
Flight safety digest (Arlington, Va. : 1988)	Flight Saf Dig	Flight. Saf. Dig.
Osterreichische Krankenpflegezeitschrift	Osterr Krankenpflegez	Osterr. Krankenpflegez.
Ocean dynamics	Ocean Dyn	Ocean. Dyn.
The annotated code of the public general laws of Maryland. Health-general. Maryland	Annot Code Public Gen Laws Md Md	Annot. Code. Public. Gen. Laws. Md. Md.
Studies in travel writing : papers from the Essex symposium on "writing travels."	Stud Travel Writ	Stud. Travel. Writ.
Nature reviews. Cardiology	Nat Rev Cardiol	Nat. Rev. Cardiol.
Quarterly bulletin. New York (N.Y.). Department of Health	Q Bull	Q. Bull.
Cladistics : the international journal of the Willi Hennig Society	Cladistics	Cladistics.
Journal of rehabilitation medicine	J Rehabil Med	J. Rehabil. Med.
Naval review (Annapolis, Md.)	Nav Rev	Nav. Rev.
Profiles of drug substances, excipients, and related methodology	Profiles Drug Subst Excip Relat Methodol	Profiles. Drug. Subst. Excip. Relat. Methodol.
Journal of cancer education : the official journal of the American Association for Cancer Education	J Cancer Educ	J. Cancer. Educ.
Surface topography : metrology and properties	Surf Topogr	Surf. Topogr.
Investigative urology	Invest Urol	Invest. Urol.
al-Qantara	Al Qantara	Al. Qantara.
International journal of computers in healthcare	Int J Comput Healthc	Int. J. Comput. Healthc.
MRS advances	MRS Adv	MRS. Adv.
Economia e storia	Econ Stor	Econ. Stor.
Journal of experimental psychology. Human perception and performance	J Exp Psychol Hum Percept Perform	J. Exp. Psychol. Hum. Percept. Perform.
The open biomedical engineering journal	Open Biomed Eng J	Open. Biomed. Eng. J.
Philosophy research archives (Bowling Green, Ohio : 1982)	Philos Res Arch	Philos. Res. Arch.
Manuscripta	Manuscripta	Manuscripta.
Health information management : journal of the Health Information Management Association of Australia	Health Inf Manag	Health. Inf. Manag.
Taiwan yi xue ren wen xue kan	Taiwan Yi Xue Ren Wen Xue Kan	Taiwan. Yi. Xue. Ren. Wen. Xue. Kan.
The Polish review	Pol Rev	Pol. Rev.
International neuropsychiatric disease journal	Int Neuropsychiatr Dis J	Int. Neuropsychiatr. Dis. J.
Behavioral disorders	Behav Disord	Behav. Disord.
World journal of neuroscience	World J Neurosci	World. J. Neurosci.
HIV/AIDS policy & law review	HIV AIDS Policy Law Rev	HIV. AIDS. Policy. Law. Rev.
Revue des sciences sociales de la France de l'Est	Rev Sci Soc Fr Est	Rev. Sci. Soc. Fr. Est.
Sovetskaia arkhitektura (Kommunisticheskaia akademiia (Soviet Union). Sektsiia sotsrasselenia i zhilishchno-bytogo stroitel'stvo)	Sov Arkh	Sov. Arkh.
Clinical immunotherapeutics	Clin Immunother	Clin. Immunother.
Semana medica de Mexico	Sem Med Mex	Sem. Med. Mex.
Journal of economics & management strategy	J Econ Manag Strategy	J. Econ. Manag. Strategy.
The Southern African journal of epidemiology & infection : official journal of the Sexually Transmitted Diseases, Infectious Diseases and Epidemiological Societies of Southern Africa	South Afr J Epidemiol Infect	South. Afr. J. Epidemiol. Infect.
New society	New Soc	New. Soc.
The Australian economic review	Aust Econ Rev	Aust. Econ. Rev.
International cardiovascular research journal	Int Cardiovasc Res J	Int. Cardiovasc. Res. J.
Newsletter - Group for the Use of Psychology in History. Group for the Use of Psychology in History	Newsl Group Use Psychol Hist	Newsl. Group. Use. Psychol. Hist.
European journal of entomology		.
Science & practice perspectives	Sci Pract Perspect	Sci. Pract. Perspect.
Advances in lung cancer (Irvine)	Adv Lung Cancer (Irvine)	Adv. Lung. Cancer. (Irvine).
Chirurgisches Forum fur experimentelle und klinische Forschung	Chir Forum Exp Klin Forsch	Chir. Forum. Exp. Klin. Forsch.
Proceedings of the ... Conference on Oral Cancer. Conference on Oral Cancer	Proc Conf Oral Cancer	Proc. Conf. Oral. Cancer.
Health policy and technology	Health Policy Technol	Health. Policy. Technol.
New York Law School human rights annual	N Y Law School Hum Rights Annu	N. Y. Law. School. Hum. Rights. Annu.
Austin journal of nutrition and food sciences	Austin J Nutr Food Sci	Austin. J. Nutr. Food. Sci.
American journal of reproductive immunology : AJRI : official journal of the American Society for the Immunology of Reproduction and the International Coordination Committee for Immunology of Reproduction	Am J Reprod Immunol	Am. J. Reprod. Immunol.
Pathogens and global health	Pathog Glob Health	Pathog. Glob. Health.
Jednota annual Furdek	Jednota Annu Furdek	Jednota. Annu. Furdek.
Produits pharmaceutiques	Prod Pharm	Prod. Pharm.
Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology	Neurol Sci	Neurol. Sci.
Nigerian journal of pharmaceutical sciences	Niger J Pharm Sci	Niger. J. Pharm. Sci.
Studies in political economy : a socialist review	Stud Polit Econ	Stud. Polit. Econ.
Frontiers in neurology	Front Neurol	Front. Neurol.
Polarforschung	Polarforschung	Polarforschung.
Medical laboratory sciences	Med Lab Sci	Med. Lab. Sci.
Molecular medicine today	Mol Med Today	Mol. Med. Today.
Mining engineering	Min Eng	Min. Eng.
The Journal of educational research	J Educ Res	J. Educ. Res.
Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas	Braz J Med Biol Res	Braz. J. Med. Biol. Res.
Tidsskrift for rettsvidenskap	Tidsskr Rettsvitenskap	Tidsskr. Rettsvitenskap.
Survey of biological progress	Surv Biol Prog	Surv. Biol. Prog.
Methods and findings in experimental and clinical pharmacology	Methods Find Exp Clin Pharmacol	Methods. Find. Exp. Clin. Pharmacol.
Neuroscience and biobehavioral reviews	Neurosci Biobehav Rev	Neurosci. Biobehav. Rev.
International journal of basic and clinical pharmacology	Int J Basic Clin Pharmacol	Int. J. Basic. Clin. Pharmacol.
Yngre laeger	Yngre Laeger	Yngre. Laeger.
Boston University journal	Boston Univ J	Boston. Univ. J.
International journal of morphology = Revista internacional de morfologia		.
International scholarly research notices	Int Sch Res Notices	Int. Sch. Res. Notices.
Journal of drug education	J Drug Educ	J. Drug. Educ.
Boletin de sanidad militar	Bol Sanid Mil	Bol. Sanid. Mil.
Seminars in laparoscopic surgery	Semin Laparosc Surg	Semin. Laparosc. Surg.
Open journal of physical chemistry	Open J Phys Chem	Open. J. Phys. Chem.
Revista espanola de sanidad penitenciaria	Rev Esp Sanid Penit	Rev. Esp. Sanid. Penit.
Social networking	Soc Netw	Soc. Netw.
Atlantic economic journal : AEJ	Atl Econ J	Atl. Econ. J.
Revista do Hospital das Clinicas	Rev Hosp Clin Fac Med Sao Paulo	Rev. Hosp. Clin. Fac. Med. Sao. Paulo.
UWFL [reports]. U.S. Atomic Energy Commission	UWFL Rep	UWFL. Rep.
Journal of cardiology. Supplement	J Cardiol Suppl	J. Cardiol. Suppl.
Natural science	Nat Sci (Irvine)	Nat. Sci. (Irvine).
Nutrition, metabolism, and cardiovascular diseases : NMCD	Nutr Metab Cardiovasc Dis	Nutr. Metab. Cardiovasc. Dis.
Journal of ethnobiology	J Ethnobiol	J. Ethnobiol.
Tijdschrift voor sociale geneeskunde	Tijdschr Soc Geneeskd	Tijdschr. Soc. Geneeskd.
AIDS & society	AIDS Soc	AIDS. Soc.
Bulletin of research in the humanities	Bull Res Humanit	Bull. Res. Humanit.
Journal of kidney cancer and VHL	J Kidney Cancer VHL	J. Kidney. Cancer. VHL.
SPIE newsroom	SPIE Newsroom	SPIE. Newsroom.
Inquiry : a journal of medical care organization, provision and financing	Inquiry	Inquiry.
Loma Linda University Dentist Magazine	Loma Linda Univ Dent Mag	Loma. Linda. Univ. Dent. Mag.
Journal of ovarian research	J Ovarian Res	J. Ovarian. Res.
Therapeutische Umschau und medizinische Bibliographie. Revue therapeutique et bibliographie medicale	Ther Umsch Med Bibliogr	Ther. Umsch. Med. Bibliogr.
Archaologischer Anzeiger	Archaeol Anz	Archaeol. Anz.
Fukuoka igaku zasshi = Hukuoka acta medica	Fukuoka Igaku Zasshi	Fukuoka. Igaku. Zasshi.
Journal of cancer biology & research	J Cancer Biol Res	J. Cancer. Biol. Res.
Neurologic clinics	Neurol Clin	Neurol. Clin.
Journal of pharmacognosy & natural products	J Pharmacogn Nat Prod	J. Pharmacogn. Nat. Prod.
Bulletin. Kresge Eye Institute	Bull Kresge Eye Inst	Bull. Kresge. Eye. Inst.
Medical education online	Med Educ Online	Med. Educ. Online.
Annales de genetique et de selection animale	Ann Genet Sel Anim	Ann. Genet. Sel. Anim.
AI & society	AI Soc	AI. Soc.
Cardiology journal	Cardiol J	Cardiol. J.
The Crown agents review	Crown Agents Rev	Crown. Agents. Rev.
IEEE Nuclear Science Symposium conference record. Nuclear Science Symposium	IEEE Nucl Sci Symp Conf Rec (1997)	IEEE. Nucl. Sci. Symp. Conf. Rec. (1997).
Estudis romanics	Estud Rom (Barcelona)	Estud. Rom. (Barcelona).
Annales Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae. Sectio geographica. Eotvos Lorand Tudomanyegyetem	Ann Univ Sci Budap Rolando Eotvos Nom Sect Geogr	Ann. Univ. Sci. Budap. Rolando. Eotvos. Nom. Sect. Geogr.
The Ochsner journal	Ochsner J	Ochsner. J.
BMC ear, nose, and throat disorders	BMC Ear Nose Throat Disord	BMC. Ear. Nose. Throat. Disord.
Nineteenth-century fiction	Nineteenth Century Fict	Nineteenth. Century. Fict.
Dialysis & transplantation	Dial Transplant	Dial. Transplant.
The Lahey Clinic bulletin	Lahey Clin Bull	Lahey. Clin. Bull.
Archivium hibernicum : or, Irish historical records	Archiv Hibernicum	Archiv. Hibernicum.
Vnitrni lekarstvi	Vnitr Lek	Vnitr. Lek.
Microbiologia espanola	Microbiol Esp	Microbiol. Esp.
Journal of child sexual abuse	J Child Sex Abus	J. Child. Sex. Abus.
Langenbecks Archiv fur Chirurgie. Supplement. Kongressband. Deutsche Gesellschaft fur Chirurgie. Kongress	Langenbecks Arch Chir Suppl Kongressbd	Langenbecks. Arch. Chir. Suppl. Kongressbd.
Journal - American Intra-Ocular Implant Society	J Am Intraocul Implant Soc	J. Am. Intraocul. Implant. Soc.
Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine	Tumour Biol	Tumour. Biol.
Revista. Chile. Servicio Nacional de Salud	Rev Serv Nac Salud	Rev. Serv. Nac. Salud.
Der Gynakologe	Gynakologe	Gynakologe.
Archives of animal nutrition	Arch Anim Nutr	Arch. Anim. Nutr.
Prostate cancer and prostatic diseases	Prostate Cancer Prostatic Dis	Prostate. Cancer. Prostatic. Dis.
Alcohol (Fayetteville, N.Y.)	Alcohol	Alcohol.
Journal of endodontia	J Endod	J. Endod.
Studia historica. Ha. moderna	Stud Hist Ha Mod	Stud. Hist. Ha. Mod.
Acta tuberculosea Scandinavica	Acta Tuberc Scand	Acta. Tuberc. Scand.
Japanese journal of medicine	Jpn J Med	Jpn. J. Med.
Hormoner	Hormoner	Hormoner.
Hormones	Hormones	Hormones.
Computer methods in applied mechanics and engineering	Comput Methods Appl Mech Eng	Comput. Methods. Appl. Mech. Eng.
International journal of sciences	Int J Sci	Int. J. Sci.
The Conference Board record	Conf Board Rec	Conf. Board. Rec.
Diotima	Diotima	Diotima.
Journal of the Optical Society of America	J Opt Soc Am	J. Opt. Soc. Am.
Istorija (Skopje, Macedonia)	Istorija	Istorija.
AMD-TR [reports]. United States. Aerospace Medical Division	AMD TR Rep	AMD. TR. Rep.
Revista medica. Ateneo Ramon y Cajal, Mexico	Rev Med	Rev. Med.
Journal of statistical planning and inference	J Stat Plan Inference	J. Stat. Plan. Inference.
Journal of robotic systems	J Robot Syst	J. Robot. Syst.
Clinics in haematology	Clin Haematol	Clin. Haematol.
Biochemische Zeitschrift	Biochem Z	Biochem. Z.
Journal of algebra	J Algebra	J. Algebra.
Journal of contemporary medical education	J Contemp Med Educ	J. Contemp. Med. Educ.
Motivational interviewing : training, research, implementation, practice	Motiv Interviewing	Motiv. Interviewing.
Advances in contraceptive delivery systems : CDS	Adv Contracept Deliv Syst	Adv. Contracept. Deliv. Syst.
Physiotherapy theory and practice	Physiother Theory Pract	Physiother. Theory. Pract.
CoDAS	Codas	Codas.
Spaces & flows : an international journal of urban and extraurban studies	Spaces Flows	Spaces. Flows.
Journal of environmental studies and sciences	J Environ Stud Sci	J. Environ. Stud. Sci.
Journal of physical activity, nutrition and rehabilitation	J Phys Act Nutr Rehabil	J. Phys. Act. Nutr. Rehabil.
Organizational dynamics	Organ Dyn	Organ. Dyn.
The Journal of long term care administration	J Long Term Care Adm	J. Long. Term. Care. Adm.
Clinical oral implants research	Clin Oral Implants Res	Clin. Oral. Implants. Res.
American journal of public health and the nation's health	Am J Public Health Nations Health	Am. J. Public. Health. Nations. Health.
Bulletin biologique de la France et de la Belgique	Bull Biol Fr Belg	Bull. Biol. Fr. Belg.
Archivum histologicum Japonicum = Nihon soshikigaku kiroku	Arch Histol Jpn	Arch. Histol. Jpn.
ACS central science	ACS Cent Sci	ACS. Cent. Sci.
Nation (New York, N.Y. : 1865)	Nation	Nation.
Canadian social work review = Revue canadienne de service social	Can Soc Work Rev	Can. Soc. Work. Rev.
The international journal of virtual reality : a multimedia publication for professionals	Int J Virtual Real	Int. J. Virtual. Real.
Cell host & microbe	Cell Host Microbe	Cell. Host. Microbe.
The Town planning review	Town Plan Rev	Town. Plan. Rev.
International journal of numerical analysis & modeling. Series B	Int J Numer Anal Model B	Int. J. Numer. Anal. Model. B.
Open journal of modern linguistics	Open J Mod Linguist	Open. J. Mod. Linguist.
Nova acta stomatologica	Nova Acta Stomatol	Nova. Acta. Stomatol.
Journal of bacteriology	J Bacteriol	J. Bacteriol.
Muscles, ligaments and tendons journal	Muscles Ligaments Tendons J	Muscles. Ligaments. Tendons. J.
Cliometrica	Cliometrica (Berl)	Cliometrica. (Berl).
Loyola law review	Loyola Law Rev	Loyola. Law. Rev.
Histoire de l'education	Hist Educ (Paris)	Hist. Educ. (Paris).
MMWR supplements	MMWR Suppl	MMWR. Suppl.
University of Kansas law review. University of Kansas. School of Law	Univ Kans Law Rev	Univ. Kans. Law. Rev.
Ciba-Tijdschrift	Ciba-Tijdschr	Ciba-Tijdschr.
Enzyme research	Enzyme Res	Enzyme. Res.
Medizin und Sport	Med Sport (Berl)	Med. Sport. (Berl).
Progress in surgery	Prog Surg	Prog. Surg.
IFIP advances in information and communication technology	IFIP Adv Inf Commun Technol	IFIP. Adv. Inf. Commun. Technol.
Informatore Odonto-Stomatologico	Inf Odontostomatol	Inf. Odontostomatol.
Revue francaise d'odonto-stomatologie	Rev Fr Odontostomatol	Rev. Fr. Odontostomatol.
Berichte. Physikalisch-Medicinische Gesellschaft, Wurzburg	Ber Phys Med Ges Wurzbg	Ber. Phys. Med. Ges. Wurzbg.
E-journal of applied psychology : clinical and social issues	E J Appl Psychol	E. J. Appl. Psychol.
Journal of high resolution chromatography : HRC	J High Resolut Chromatogr	J. High. Resolut. Chromatogr.
Journal of the Pennsylvania Academy of Science	J Pa Acad Sci	J. Pa. Acad. Sci.
HSR proceedings in intensive care & cardiovascular anesthesia	HSR Proc Intensive Care Cardiovasc Anesth	HSR. Proc. Intensive. Care. Cardiovasc. Anesth.
Osteopathic medicine and primary care	Osteopath Med Prim Care	Osteopath. Med. Prim. Care.
Proceedings of the ... IEEE/RSJ International Conference on Intelligent Robots and Systems. IEEE/RSJ International Conference on Intelligent Robots and Systems	Rep U S	Rep. U. S.
National medical-legal journal	Natl Med Leg J	Natl. Med. Leg. J.
Nursing journal	Nurs J (Manila)	Nurs. J. (Manila).
Sociologia urbana e rurale	Sociol Urbana Rurale (Testo Stamp)	Sociol. Urbana. Rurale. (Testo. Stamp).
Group practice	Group Pract	Group. Pract.
Sleep and hypnosis : an international journal of sleep, dream, and hypnosis	Sleep Hypn	Sleep. Hypn.
Child and family policy and practice review	Child Fam Policy Pract Rev	Child. Fam. Policy. Pract. Rev.
Animal behavior and cognition	Anim Behav Cogn	Anim. Behav. Cogn.
Natural product communications	Nat Prod Commun	Nat. Prod. Commun.
Egitimde ve psikolojide olcme ve degerlendirme dergisi	Egit Psikol Olcme Deger Derg	Egit. Psikol. Olcme. Deger. Derg.
Circulo Odontologico De San Martin Y Tres De Febrero	Circ Odontol San Martin Tres Febr	Circ. Odontol. San. Martin. Tres. Febr.
Zhi wu sheng li xue bao = Acta phytophysiologica Sinica	Acta Phytophysiol Sinica	Acta. Phytophysiol. Sinica.
Shoulder & elbow	Shoulder Elbow	Shoulder. Elbow.
Thoracic surgical science	Thorac Surg Sci	Thorac. Surg. Sci.
Archives of disease in childhood	Arch Dis Child	Arch. Dis. Child.
Biochemistry & physiology	Biochem Physiol	Biochem. Physiol.
Turk hijiyen ve tecrubi biyoloji dergisi	Turk Hij Tecr Biyol Derg	Turk. Hij. Tecr. Biyol. Derg.
